#DATE,AUTHORS,DISTROS
199508,16,29
199509,6,13
199510,15,26
199511,10,23
199512,9,27
199601,9,17
199602,2,10
199603,5,14
199604,3,17
199605,11,36
199606,11,24
199607,4,11
199608,6,19
199609,6,11
199610,8,16
199611,6,12
199612,6,13
199701,9,27
199702,10,21
199703,9,27
199704,6,18
199705,3,23
199706,7,20
199707,6,21
199708,17,36
199709,4,34
199710,7,34
199711,7,23
199712,12,33
199801,15,46
199802,11,29
199803,14,36
199804,4,25
199805,4,26
199806,31,56
199807,24,46
199808,10,48
199809,21,44
199810,14,54
199811,12,43
199812,14,35
199901,12,46
199902,15,50
199903,14,55
199904,13,58
199905,9,34
199906,16,54
199907,25,66
199908,20,55
199909,31,64
199910,25,61
199911,18,49
199912,20,55
200001,20,61
200002,16,59
200003,22,66
200004,22,68
200005,14,45
200006,20,57
200007,26,73
200008,19,65
200009,32,75
200010,29,72
200011,25,76
200012,28,67
200101,22,76
200102,23,81
200103,29,99
200104,19,77
200105,21,102
200106,24,105
200107,44,117
200108,35,126
200109,29,92
200110,38,128
200111,24,123
200112,29,96
200201,35,134
200202,42,115
200203,38,120
200204,44,104
200205,34,119
200206,32,105
200207,30,162
200208,32,137
200209,36,163
200210,33,128
200211,27,134
200212,43,133
200301,42,175
200302,43,146
200303,47,195
200304,49,174
200305,45,164
200306,51,235
200307,36,160
200308,47,160
200309,35,178
200310,35,158
200311,35,154
200312,34,161
200401,28,203
200402,49,180
200403,46,212
200404,25,207
200405,31,186
200406,38,185
200407,44,174
200408,33,141
200409,46,196
200410,36,182
200411,35,148
200412,26,160
200501,39,250
200502,27,129
200503,41,192
200504,30,202
200505,29,180
200506,35,180
200507,34,225
200508,47,209
200509,37,171
200510,32,178
200511,36,250
200512,30,153
200601,40,222
200602,39,208
200603,27,224
200604,26,169
200605,37,199
200606,47,183
200607,35,178
200608,37,175
200609,38,175
200610,43,174
200611,39,159
200612,32,172
200701,34,144
200702,36,164
200703,31,207
200704,36,196
200705,38,187
200706,31,154
200707,44,197
200708,29,182
200709,34,218
200710,24,173
200711,36,214
200712,40,192
200801,31,230
200802,40,265
200803,28,270
200804,30,255
200805,26,189
200806,28,224
200807,31,225
200808,34,229
200809,37,190
200810,33,243
200811,46,266
200812,35,211
200901,41,233
200902,27,231
200903,32,249
200904,38,265
200905,47,250
200906,29,246
200907,48,298
200908,39,217
200909,45,215
200910,31,260
200911,31,269
200912,30,246
201001,28,214
201002,40,208
201003,36,268
201004,29,242
201005,30,232
201006,36,236
201007,38,233
201008,33,218
201009,17,205
201010,34,217
201011,36,270
201012,32,249
201101,36,300
201102,30,270
